iter	Passed	Remaining
0	0	240
1	0	231
2	0	224
3	0	227
4	1	224
5	1	221
6	1	227
7	1	231
8	2	230
9	2	229
10	2	227
11	2	228
12	2	226
13	3	224
14	3	223
15	3	221
16	3	221
17	4	220
18	4	219
19	4	218
20	4	217
21	4	216
22	5	216
23	5	216
24	5	215
25	5	214
26	5	214
27	6	213
28	6	213
29	6	212
30	6	212
31	6	211
32	7	211
33	7	211
34	7	210
35	7	210
36	8	210
37	8	210
38	8	210
39	8	210
40	8	210
41	9	209
42	9	209
43	9	209
44	9	208
45	10	208
46	10	208
47	10	208
48	10	208
49	10	208
50	11	208
51	11	207
52	11	207
53	11	207
54	12	207
55	12	206
56	12	206
57	12	206
58	12	206
59	13	205
60	13	205
61	13	205
62	13	205
63	14	205
64	14	204
65	14	204
66	14	204
67	14	202
68	14	201
69	15	201
70	15	201
71	15	202
72	15	202
73	16	201
74	17	210
75	17	210
76	17	210
77	17	209
78	17	209
79	18	208
80	18	208
81	18	208
82	18	207
83	18	207
84	19	205
85	19	205
86	19	203
87	19	203
88	19	203
89	20	202
90	20	202
91	20	202
92	20	201
93	20	201
94	21	201
95	21	201
96	21	200
97	21	200
98	22	200
99	22	200
100	22	200
101	22	198
102	22	198
103	22	198
104	23	197
105	23	197
106	23	197
107	23	196
108	24	196
109	24	196
110	24	196
111	24	195
112	24	195
113	25	195
114	25	194
115	25	194
116	25	193
117	25	193
118	26	192
119	26	192
120	26	192
121	26	192
122	26	191
123	27	191
124	27	190
125	27	190
126	27	190
127	27	189
128	28	189
129	28	188
130	28	188
131	28	188
132	28	188
133	29	188
134	29	187
135	29	187
136	29	187
137	29	186
138	30	186
139	30	186
140	30	185
141	30	185
142	30	185
143	31	185
144	31	185
145	31	184
146	31	184
147	32	184
148	32	184
149	32	184
150	32	183
151	32	183
152	33	183
153	33	183
154	33	182
155	33	182
156	33	182
157	34	182
158	34	181
159	34	181
160	34	181
161	35	181
162	35	181
163	35	180
164	35	180
165	35	180
166	36	180
167	36	179
168	36	179
169	36	179
170	36	179
171	37	178
172	37	178
173	37	178
174	37	178
175	37	177
176	38	177
177	38	177
178	38	177
179	38	176
180	38	176
181	39	176
182	39	175
183	39	175
184	39	175
185	40	175
186	40	175
187	40	175
188	40	174
189	40	174
190	41	174
191	41	174
192	41	174
193	41	173
194	42	173
195	42	173
196	42	173
197	42	173
198	42	172
199	43	172
200	43	172
201	43	172
202	43	172
203	44	171
204	44	171
205	44	171
206	44	171
207	44	170
208	45	170
209	45	170
210	45	170
211	45	170
212	45	169
213	46	169
214	46	169
215	46	169
216	46	169
217	47	169
218	47	168
219	47	168
220	47	168
221	47	168
222	48	167
223	48	167
224	48	167
225	48	167
226	48	166
227	49	166
228	49	166
229	49	166
230	49	166
231	50	165
232	50	165
233	50	165
234	50	165
235	51	165
236	51	164
237	51	164
238	51	164
239	51	164
240	52	163
241	52	163
242	52	163
243	52	163
244	52	163
245	53	162
246	53	162
247	53	162
248	53	162
249	53	161
250	54	161
251	54	161
252	54	161
253	54	160
254	54	160
255	55	160
256	55	160
257	55	159
258	55	159
259	56	159
260	56	159
261	56	159
262	56	158
263	56	158
264	57	158
265	57	158
266	57	157
267	57	157
268	57	157
269	58	157
270	58	156
271	58	156
272	58	156
273	58	156
274	59	156
275	59	155
276	59	155
277	59	155
278	60	155
279	60	155
280	60	154
281	60	154
282	60	154
283	61	154
284	61	153
285	61	153
286	61	153
287	61	153
288	62	153
289	62	152
290	62	152
291	62	152
292	63	152
293	63	151
294	63	151
295	63	151
296	63	151
297	64	151
298	64	150
299	64	150
300	64	150
301	65	150
302	65	150
303	65	149
304	65	149
305	65	149
306	66	149
307	66	148
308	66	148
309	66	148
310	66	148
311	67	148
312	67	147
313	67	147
314	67	147
315	68	147
316	68	146
317	68	146
318	68	146
319	68	146
320	69	146
321	69	145
322	69	145
323	69	145
324	69	145
325	70	145
326	70	144
327	70	144
328	70	144
329	71	144
330	71	144
331	71	143
332	71	143
333	71	143
334	72	143
335	72	143
336	72	142
337	72	142
338	73	142
339	73	142
340	73	142
341	73	141
342	73	141
343	74	141
344	74	141
345	74	140
346	74	140
347	74	140
348	75	140
349	75	140
350	75	139
351	75	139
352	76	139
353	76	139
354	76	139
355	76	138
356	76	138
357	77	138
358	77	138
359	77	137
360	77	137
361	78	137
362	78	137
363	78	137
364	78	136
365	78	136
366	79	136
367	79	136
368	79	135
369	79	135
370	79	135
371	80	135
372	80	134
373	80	134
374	80	134
375	80	134
376	81	133
377	81	133
378	81	133
379	81	133
380	81	133
381	82	132
382	82	132
383	82	132
384	82	132
385	83	132
386	83	131
387	83	131
388	83	131
389	83	131
390	84	131
391	84	130
392	84	130
393	84	130
394	85	130
395	85	130
396	85	129
397	85	129
398	85	129
399	86	129
400	86	128
401	86	128
402	86	128
403	86	128
404	87	128
405	87	127
406	87	127
407	87	127
408	88	127
409	88	127
410	88	126
411	88	126
412	88	126
413	89	126
414	89	125
415	89	125
416	89	125
417	89	125
418	90	124
419	90	124
420	90	124
421	90	124
422	90	124
423	91	123
424	91	123
425	91	123
426	91	123
427	92	122
428	92	122
429	92	122
430	92	122
431	92	122
432	93	121
433	93	121
434	93	121
435	93	121
436	93	121
437	94	120
438	94	120
439	94	120
440	94	120
441	95	120
442	95	119
443	95	119
444	95	119
445	95	119
446	96	118
447	96	118
448	96	118
449	96	118
450	97	118
451	97	117
452	97	117
453	97	117
454	97	117
455	98	117
456	98	116
457	98	116
458	98	116
459	99	116
460	99	116
461	99	115
462	99	115
463	99	115
464	100	115
465	100	114
466	100	114
467	100	114
468	100	114
469	101	114
470	101	113
471	101	113
472	101	113
473	102	113
474	102	113
475	102	112
476	102	112
477	102	112
478	103	112
479	103	112
480	103	111
481	103	111
482	104	111
483	104	111
484	104	110
485	104	110
486	104	110
487	105	110
488	105	109
489	105	109
490	105	109
491	105	109
492	106	109
493	106	108
494	106	108
495	106	108
496	106	108
497	107	108
498	107	107
499	107	107
500	107	107
501	108	107
502	108	106
503	108	106
504	108	106
505	108	106
506	109	106
507	109	105
508	109	105
509	109	105
510	109	105
511	110	105
512	110	104
513	110	104
514	110	104
515	111	104
516	111	103
517	111	103
518	111	103
519	111	103
520	112	103
521	112	102
522	112	102
523	112	102
524	112	102
525	113	101
526	113	101
527	113	101
528	113	101
529	113	101
530	114	100
531	114	100
532	114	100
533	114	100
534	115	99
535	115	99
536	115	99
537	115	99
538	115	99
539	116	98
540	116	98
541	116	98
542	116	98
543	116	98
544	117	97
545	117	97
546	117	97
547	117	97
548	118	96
549	118	96
550	118	96
551	118	96
552	118	96
553	119	95
554	119	95
555	119	95
556	119	95
557	119	94
558	120	94
559	120	94
560	120	94
561	120	94
562	120	93
563	121	93
564	121	93
565	121	93
566	121	93
567	122	92
568	122	92
569	122	92
570	122	92
571	122	91
572	123	91
573	123	91
574	123	91
575	123	91
576	123	90
577	124	90
578	124	90
579	124	90
580	124	89
581	124	89
582	125	89
583	125	89
584	125	89
585	125	88
586	126	88
587	126	88
588	126	88
589	126	88
590	126	87
591	127	87
592	127	87
593	127	87
594	127	86
595	127	86
596	128	86
597	128	86
598	128	86
599	128	85
600	129	85
601	129	85
602	129	85
603	129	85
604	129	84
605	130	84
606	130	84
607	130	84
608	130	83
609	130	83
610	131	83
611	131	83
612	131	83
613	131	82
614	132	82
615	132	82
616	132	82
617	132	82
618	132	81
619	133	81
620	133	81
621	133	81
622	133	80
623	133	80
624	134	80
625	134	80
626	134	80
627	134	79
628	134	79
629	135	79
630	135	79
631	135	78
632	135	78
633	136	78
634	136	78
635	136	78
636	136	77
637	136	77
638	137	77
639	137	77
640	137	77
641	137	76
642	138	76
643	138	76
644	138	76
645	138	75
646	138	75
647	139	75
648	139	75
649	139	75
650	139	74
651	139	74
652	140	74
653	140	74
654	140	74
655	140	73
656	141	73
657	141	73
658	141	73
659	141	72
660	141	72
661	142	72
662	142	72
663	142	72
664	142	71
665	143	71
666	143	71
667	143	71
668	143	71
669	143	70
670	144	70
671	144	70
672	144	70
673	144	70
674	145	69
675	145	69
676	145	69
677	145	69
678	145	68
679	146	68
680	146	68
681	146	68
682	146	68
683	146	67
684	147	67
685	147	67
686	147	67
687	147	67
688	148	66
689	148	66
690	148	66
691	148	66
692	148	65
693	149	65
694	149	65
695	149	65
696	149	65
697	149	64
698	150	64
699	150	64
700	150	64
701	150	64
702	151	63
703	151	63
704	151	63
705	151	63
706	151	62
707	151	62
708	152	62
709	152	62
710	152	62
711	152	61
712	152	61
713	153	61
714	153	61
715	153	60
716	153	60
717	154	60
718	154	60
719	154	60
720	154	59
721	154	59
722	155	59
723	155	59
724	155	59
725	155	58
726	156	58
727	156	58
728	156	58
729	156	57
730	156	57
731	157	57
732	157	57
733	157	57
734	157	56
735	158	56
736	158	56
737	158	56
738	158	56
739	158	55
740	159	55
741	159	55
742	159	55
743	159	54
744	159	54
745	160	54
746	160	54
747	160	54
748	160	53
749	160	53
750	161	53
751	161	53
752	161	53
753	161	52
754	162	52
755	162	52
756	162	52
757	162	51
758	162	51
759	163	51
