iter	Passed	Remaining
0	0	323
1	0	286
2	0	264
3	1	255
4	1	244
5	1	242
6	1	239
7	1	235
8	2	240
9	2	239
10	2	240
11	2	240
12	3	237
13	3	237
14	3	236
15	3	234
16	4	236
17	4	235
18	4	232
19	4	231
20	4	232
21	5	231
22	5	234
23	5	233
24	5	232
25	6	231
26	6	230
27	6	229
28	6	227
29	7	227
30	7	226
31	7	225
32	7	224
33	7	224
34	8	224
35	8	225
36	8	224
37	8	223
38	9	222
39	9	222
40	9	222
41	9	222
42	9	221
43	10	220
44	10	220
45	10	219
46	10	219
47	11	218
48	11	219
49	11	219
50	11	218
51	11	217
52	12	217
53	12	216
54	12	215
55	12	215
56	13	215
57	13	214
58	13	213
59	13	213
60	13	212
61	14	212
62	14	211
63	14	211
64	14	210
65	14	210
66	15	210
67	15	209
68	15	209
69	15	208
70	15	208
71	16	208
72	16	207
73	16	207
74	16	207
75	16	206
76	17	206
77	17	205
78	17	205
79	17	205
80	18	204
81	18	204
82	18	202
83	18	202
84	18	201
85	18	201
86	19	201
87	19	200
88	19	200
89	19	200
90	19	199
91	20	199
92	20	198
93	20	198
94	20	197
95	20	197
96	21	196
97	21	196
98	21	196
99	21	196
100	22	196
101	22	196
102	22	196
103	22	196
104	23	196
105	23	196
106	23	196
107	23	196
108	23	195
109	24	195
110	24	195
111	24	195
112	24	195
113	25	194
114	25	194
115	25	194
116	25	194
117	25	193
118	26	193
119	26	193
120	26	193
121	26	192
122	26	192
123	27	191
124	27	191
125	27	191
126	27	190
127	27	190
128	28	190
129	28	189
130	28	189
131	28	189
132	28	189
133	29	188
134	29	188
135	29	188
136	29	187
137	30	187
138	30	187
139	30	187
140	30	187
141	30	186
142	31	186
143	31	186
144	31	186
145	31	185
146	31	185
147	32	185
148	32	184
149	32	184
150	32	184
151	32	183
152	33	183
153	33	183
154	33	183
155	33	183
156	34	183
157	34	183
158	34	182
159	34	182
160	34	181
161	35	181
162	35	181
163	35	181
164	35	181
165	36	181
166	36	183
167	37	183
168	37	183
169	37	183
170	37	182
171	37	182
172	38	182
173	38	182
174	38	181
175	38	181
176	38	181
177	39	180
178	39	180
179	39	180
180	39	180
181	40	179
182	40	179
183	40	179
184	40	179
185	40	178
186	41	178
187	41	178
188	41	177
189	41	177
190	41	177
191	42	177
192	42	176
193	42	176
194	42	176
195	42	176
196	43	175
197	43	175
198	43	175
199	43	174
200	43	174
201	44	174
202	44	173
203	44	173
204	44	173
205	44	173
206	45	172
207	45	172
208	45	172
209	45	172
210	45	171
211	46	171
212	46	171
213	46	171
214	46	171
215	47	170
216	47	170
217	47	170
218	47	170
219	47	169
220	48	169
221	48	169
222	48	169
223	48	168
224	48	168
225	49	168
226	49	168
227	49	167
228	49	167
229	50	167
230	50	167
231	50	167
232	50	166
233	50	166
234	51	166
235	51	166
236	51	165
237	51	165
238	51	165
239	52	165
240	52	164
241	52	164
242	52	164
243	53	164
244	53	164
245	53	163
246	53	163
247	53	163
248	54	163
249	54	163
250	54	162
251	54	162
252	54	162
253	55	162
254	55	162
255	55	162
256	55	161
257	56	161
258	56	161
259	56	161
260	56	160
261	57	160
262	57	160
263	57	160
264	57	159
265	57	159
266	58	159
267	58	159
268	58	158
269	58	158
270	58	158
271	59	158
272	59	157
273	59	157
274	59	157
275	59	157
276	60	156
277	60	156
278	60	156
279	60	156
280	60	155
281	61	155
282	61	155
283	61	155
284	61	155
285	62	154
286	62	154
287	62	154
288	62	154
289	62	154
290	63	153
291	63	153
292	63	153
293	63	153
294	63	152
295	64	152
296	64	152
297	64	152
298	64	151
299	65	151
300	65	151
301	65	151
302	65	151
303	65	150
304	66	150
305	66	150
306	66	150
307	66	149
308	66	149
309	67	149
310	67	149
311	67	148
312	67	148
313	68	148
314	68	148
315	68	148
316	68	148
317	68	147
318	69	147
319	69	147
320	69	147
321	69	146
322	69	146
323	70	146
324	70	146
325	70	146
326	70	145
327	71	145
328	71	145
329	71	145
330	71	144
331	71	144
332	72	144
333	72	144
334	72	143
335	72	143
336	72	143
337	73	143
338	73	143
339	73	142
340	73	142
341	73	142
342	74	142
343	74	141
344	74	141
345	74	141
346	74	141
347	75	140
348	75	140
349	75	140
350	75	140
351	76	140
352	76	139
353	76	139
354	76	139
355	76	139
356	77	138
357	77	138
358	77	138
359	77	138
360	77	137
361	78	137
362	78	137
363	78	137
364	78	137
365	79	136
366	79	136
367	79	136
368	79	136
369	79	135
370	80	135
371	80	135
372	80	135
373	80	135
374	80	134
375	81	134
376	81	134
377	81	134
378	81	133
379	81	133
380	82	133
381	82	133
382	82	132
383	82	132
384	82	132
385	83	132
386	83	132
387	83	131
388	83	131
389	83	131
390	84	131
391	84	131
392	84	130
393	84	130
394	85	130
395	85	130
396	85	129
397	85	129
398	85	129
399	86	129
400	86	128
401	86	128
402	86	128
403	86	128
404	87	127
405	87	127
406	87	127
407	87	127
408	87	126
409	87	126
410	88	126
411	88	126
412	88	125
413	88	125
414	88	125
415	89	125
416	89	124
417	89	124
418	89	124
419	89	124
420	90	123
421	90	123
422	90	123
423	90	123
424	90	123
425	91	122
426	91	122
427	91	122
428	91	122
429	92	121
430	92	121
431	92	121
432	92	121
433	92	121
434	93	120
435	93	120
436	93	120
437	93	120
438	93	120
439	94	119
440	94	119
441	94	119
442	94	119
443	94	118
444	95	118
445	95	118
446	95	118
447	95	118
448	95	117
449	96	117
450	96	117
451	96	117
452	96	116
453	97	116
454	97	116
455	97	116
456	97	116
457	97	115
458	98	115
459	98	115
460	98	115
461	98	115
462	99	114
463	99	114
464	99	114
465	99	114
466	99	114
467	100	113
468	100	113
469	100	113
470	100	113
471	101	113
472	101	112
473	101	112
474	101	112
475	101	112
476	102	111
477	102	111
478	102	111
479	102	111
480	102	111
481	103	110
482	103	110
483	103	110
484	103	110
485	104	110
486	104	109
487	104	109
488	104	109
489	104	109
490	105	108
491	105	108
492	105	108
493	105	108
494	105	108
495	106	107
496	106	107
497	106	107
498	106	107
499	107	107
500	107	106
501	107	106
502	107	106
503	107	106
504	108	105
505	108	105
506	108	105
507	108	105
508	108	105
509	109	104
510	109	104
511	109	104
512	109	104
513	109	103
514	110	103
515	110	103
516	110	103
517	110	103
518	111	102
519	111	102
520	111	102
521	111	102
522	111	101
523	112	101
524	112	101
525	112	101
526	112	101
527	112	100
528	113	100
529	113	100
530	113	100
531	113	99
532	113	99
533	114	99
534	114	99
535	114	99
536	114	98
537	115	98
538	115	98
539	115	98
540	115	98
541	115	97
542	116	97
543	116	97
544	116	97
545	116	97
546	116	96
547	117	96
548	117	96
549	117	96
550	117	95
551	117	95
552	118	95
553	118	95
554	118	95
555	118	94
556	118	94
557	119	94
558	119	94
559	119	93
560	119	93
561	119	93
562	120	93
563	120	93
564	120	92
565	120	92
566	121	92
567	121	92
568	121	91
569	121	91
570	121	91
571	121	91
572	122	91
573	122	90
574	122	90
575	122	90
576	123	90
577	123	89
578	123	89
579	123	89
580	123	89
581	124	89
582	124	88
583	124	88
584	124	88
585	124	88
586	125	88
587	125	87
588	125	87
589	125	87
590	125	87
591	126	86
592	126	86
593	126	86
594	126	86
595	127	86
596	127	85
597	127	85
598	127	85
599	127	85
600	128	85
601	128	84
602	128	84
603	128	84
604	128	84
605	129	83
606	129	83
607	129	83
608	129	83
609	129	83
610	130	82
611	130	82
612	130	82
613	130	82
614	131	82
615	131	81
616	131	81
617	131	81
618	131	81
619	132	80
620	132	80
621	132	80
622	132	80
623	132	80
624	133	79
625	133	79
626	133	79
627	133	79
628	133	79
629	134	78
630	134	78
631	134	78
632	134	78
633	134	77
634	135	77
635	135	77
636	135	77
637	135	77
638	136	76
639	136	76
640	136	76
641	136	76
642	136	75
643	137	75
644	137	75
645	137	75
646	137	75
647	137	74
648	138	74
649	138	74
650	138	74
651	138	74
652	138	73
653	139	73
654	139	73
655	139	73
656	139	72
657	140	72
658	140	72
659	140	72
660	140	72
661	140	71
662	141	71
663	141	71
664	141	71
665	141	71
666	141	70
667	142	70
668	142	70
669	142	70
670	142	70
671	143	69
672	143	69
673	143	69
674	143	69
675	143	68
676	144	68
677	144	68
678	144	68
679	144	68
680	144	67
681	145	67
682	145	67
683	145	67
684	145	67
685	145	66
686	146	66
687	146	66
688	146	66
689	146	65
690	146	65
691	147	65
692	147	65
693	147	65
694	147	64
695	148	64
696	148	64
697	148	64
698	148	64
699	148	63
700	149	63
701	149	63
702	149	63
703	149	62
704	149	62
705	150	62
706	150	62
707	150	62
708	150	61
709	150	61
710	151	61
711	151	61
712	151	61
713	151	60
714	152	60
715	152	60
716	152	60
717	152	59
718	152	59
719	153	59
720	153	59
721	153	59
722	153	58
723	153	58
724	154	58
725	154	58
726	154	58
727	154	57
728	154	57
729	155	57
730	155	57
731	155	56
732	155	56
733	156	56
734	156	56
735	156	56
736	156	55
737	156	55
738	157	55
739	157	55
740	157	55
741	157	54
742	157	54
743	158	54
744	158	54
745	158	53
746	158	53
747	158	53
748	159	53
749	159	53
750	159	52
751	159	52
752	159	52
753	160	52
754	160	52
755	160	51
756	160	51
757	160	51
758	161	51
759	161	50
760	161	50
761	161	50
762	162	50
763	162	50
764	162	49
765	162	49
766	162	49
767	163	49
768	163	49
769	163	48
770	163	48
771	163	48
772	164	48
773	164	47
774	164	47
775	164	47
776	164	47
777	165	47
778	165	46
779	165	46
780	165	46
781	166	46
782	166	46
783	166	45
784	166	45
785	166	45
786	167	45
787	167	45
788	167	44
789	167	44
790	168	44
791	168	44
792	168	43
793	168	43
794	168	43
795	169	43
